,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
33,frozenset({'green tea'}),frozenset({'mineral water'}),0.1901372475564486,0.3534039437387188,0.05844089500391649,0.30736163353036,0.8697176106150102,-0.008754358134157515,0.9335261913904144
34,frozenset({'spaghetti'}),frozenset({'green tea'}),0.28277083404284303,0.1901372475564486,0.05343459455777679,0.1889678429483319,0.9938496816213273,-0.0003306735163706928,0.9985581279386408
35,frozenset({'green tea'}),frozenset({'spaghetti'}),0.1901372475564486,0.28277083404284303,0.05343459455777679,0.2810317033852767,0.9938496816213273,-0.0003306735163706928,0.9975810746235195
36,frozenset({'mineral water'}),frozenset({'ground beef'}),0.3534039437387188,0.16892006947518987,0.08054354119129517,0.22790787318107353,1.3492054193983594,0.020846522462144697,1.07639995494957
37,frozenset({'ground beef'}),frozenset({'mineral water'}),0.16892006947518987,0.3534039437387188,0.08054354119129517,0.47681451612903225,1.3492054193983591,0.020846522462144697,1.235883020830811
38,frozenset({'spaghetti'}),frozenset({'ground beef'}),0.28277083404284303,0.16892006947518987,0.07962401661955522,0.2815849692882091,1.6669716639535652,0.03185834768748079,1.1568242519945513
39,frozenset({'ground beef'}),frozenset({'spaghetti'}),0.16892006947518987,0.28277083404284303,0.07962401661955522,0.47137096774193543,1.666971663953565,0.03185834768748079,1.3567721827412276
40,frozenset({'mineral water'}),frozenset({'milk'}),0.3534039437387188,0.21261451486564725,0.09757177400129415,0.2760913558832032,1.2985536573439846,0.022432965951679956,1.087686259217143
41,frozenset({'milk'}),frozenset({'mineral water'}),0.21261451486564725,0.3534039437387188,0.09757177400129415,0.4589139836617011,1.2985536573439846,0.022432965951679956,1.1949967966960267
42,frozenset({'spaghetti'}),frozenset({'milk'}),0.28277083404284303,0.21261451486564725,0.07608214419507543,0.26905937612910996,1.2654798111931853,0.01596096049690191,1.0772222249251162
43,frozenset({'milk'}),frozenset({'spaghetti'}),0.21261451486564725,0.28277083404284303,0.07608214419507543,0.3578407816754765,1.265479811193185,0.01596096049690191,1.116902390389257
44,frozenset({'mineral water'}),frozenset({'olive oil'}),0.3534039437387188,0.11460000681129312,0.05690835405101659,0.1610291991905175,1.4051412706779096,0.01640825969142156,1.0553406534940515
45,frozenset({'olive oil'}),frozenset({'mineral water'}),0.11460000681129312,0.3534039437387188,0.05690835405101659,0.49658246656760774,1.4051412706779094,0.01640825969142156,1.284413063352545
46,frozenset({'mineral water'}),frozenset({'pancakes'}),0.3534039437387188,0.15512720089909068,0.06920273813983585,0.19581767370145514,1.2623039194063288,0.01438017356094868,1.050598566359513
47,frozenset({'pancakes'}),frozenset({'mineral water'}),0.15512720089909068,0.3534039437387188,0.06920273813983585,0.44610318331503845,1.2623039194063288,0.01438017356094868,1.1673583179826141
48,frozenset({'mineral water'}),frozenset({'spaghetti'}),0.3534039437387188,0.28277083404284303,0.1199809283792528,0.33950081911920593,1.200621769456491,0.02004860045422531,1.0858895615899355
49,frozenset({'spaghetti'}),frozenset({'mineral water'}),0.28277083404284303,0.3534039437387188,0.1199809283792528,0.4243044682644827,1.200621769456491,0.02004860045422531,1.1231562876856522
50,frozenset({'spaghetti'}),frozenset({'olive oil'}),0.28277083404284303,0.11460000681129312,0.05081224670503695,0.17969408647476814,1.568011132587999,0.0184067071976921,1.0793534199744286
51,frozenset({'olive oil'}),frozenset({'spaghetti'}),0.11460000681129312,0.28277083404284303,0.05081224670503695,0.4433878157503715,1.5680111325879993,0.0184067071976921,1.288561742362965
52,frozenset({'spaghetti'}),frozenset({'pancakes'}),0.28277083404284303,0.15512720089909068,0.05694241051663659,0.2013729977116705,1.2981153308030255,0.013076962535669041,1.0579066281005656
53,frozenset({'pancakes'}),frozenset({'spaghetti'}),0.15512720089909068,0.28277083404284303,0.05694241051663659,0.3670691547749726,1.2981153308030255,0.013076962535669041,1.1331872531858656
